Название;Описание;Артикул;Поставщик;Ссылка;Цена Each;Цена Case
Emsure* Tetrahydrofuran for analysis, ACS, Reagent Ph Eur grade, Cas number: 109-99-9, 4l;TETRAHYDROFURAN FOR ANALYSISEMSURE4L;EM1.09731.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09731.4000;$599.00;Цена для Case не найдена
EMSURE* Sodium chloride for analysis 1kg;SODIUM CHLORIDE GR ACS 1KG;EM1.06404.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.06404.1000;$160.00;Цена для Case не найдена
Ethanolamine for AnalysisEMSURE* 1L;ETHANOLAMINE FOR ANALYSIS (1L);EM1.00845.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00845.1000;$303.00;$1,732.00
EMSURE* Zinc sulfate heptahydrate for analysis 1kg;ZINC SULFATE 1KG;EM1.08883.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08883.1000;$251.00;Цена для Case не найдена
Emsure* Ammonium acetate 25 kg;Emsure* Ammonium acetate, CAS Number: 631-61-8, Grade: ACS,Reag. Ph Eur, Chemical Formula: CH3COONH4, Molar Mass: 77.08 g/mol, Physical state: solid, Odor: weakly of acetic acid, Storage: 15 deg C to 25 deg C, Application: for analysis, Pack size: 25 kg;EM1.01116.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01116.9025;$4,357.00;Цена для Case не найдена
EMSURE* Zinc iodide for analysis 100g;ZINC IODIDE FOR ANALYSIS EMSUR;EM1.08828.0100;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08828.0100;$276.00;$4,085.00
Petroleum benzine;Emsure* Petroleum benzine for analysis boiling range 40-60degree celcius, ACS, ISO grade, Cas number: 64742-49-0.;EM1.01775.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01775.4000;$440.00;Цена для Case не найдена
Aniline for AnalysisEMSURE* 1L;ANILINE FOR ANALYSIS EMSU (1L);EM1.01261.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01261.1000;$399.00;$2,282.00
N-Pentane for AnalysisEMSURE* 1L;N-PENTANE FOR ANALYSIS EM (1L);EM1.07177.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07177.1000;$243.00;$1,389.00
Ammonia Solution 25% For AnalysisEmsure1L;AMMONIA SOLUTION 25EMSURE1L;EM1.05432.1011;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05432.1011;$127.00;$697.00
Petroleum benzine;EMSURE* Petroleum benzine boiling range 60-80DegreeC for analysis Synonyms Petroleum spirit, Petroleum ether;EM1.01774.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01774.6025;$2,027.00;Цена для Case не найдена
Boric acid, for analysisEMSURE, ACS, ISO, Reagent, Ph Eur, CAS number: 10043-35-3;BORIC ACID FOR ANALYSISEMSURE25KG;EM1.00165.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00165.9025;$2,086.00;Цена для Case не найдена
N-Butyl acetate;Emsure* n-Butyl acetate for analysis, Cas number: 123-86-4, Chemical Formula:CH3COO(CH2)3CH3, Solvent, 4ml.;EM1.09652.4000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09652.4000;$586.00;Цена для Case не найдена
Diethanolamine for AnalysisEMSURE* 1L;DIETHANOLAMINE FOR ANALYS (1L);EM1.16205.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.16205.1000;$195.00;$1,112.00
EMSURE* Ammonium acetate for analysis 500g;AMMONIUM ACETATE ACS 500GM;EM1.01116.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01116.0500;$241.00;Цена для Case не найдена
EMSURE* Ammonium acetate for analysis 50kg;AMMONIUM ACETATE 50KG;EM1.01116.9050;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.01116.9050;Inquire for Price;Цена для Case не найдена
Selenium Black 99+Percent 1Kg Plastic Bottle;Cas Number 7782-49-2, Solubility (20 Degree C) Slightly Soluble;EM1.07714.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07714.1000;Inquire for Price;Inquire for Price
EmsureTin Granulated for Analysis (Particle Size about 4 Mm) 250G;Grade Reagent pH Eur, Cas Number 7440-31-5;EM1.07806.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07806.0250;$569.00;$56,836.00
Ethanolamine for AnalysisEMSURE* 2. 5L;ETHANOLAMINE FOR ANALYS (2.5L);EM1.00845.2500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.00845.2500;$433.00;$1,654.00
Ammonia Solution 25% For AnalysisEmsure25L;AMMONIA SOLUTION 25EMSURE25;EM1.05432.9025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05432.9025;$861.00;Цена для Case не найдена
